날짜,식당,메뉴,가격,구매여부,먹지않은이유
2018-05-24,시루향기,콩나물국밥,6500,TRUE,
2018-05-25,,,,,문화의날
2018-05-26,,,,,
2018-05-27,,,,,
2018-05-28,시루향기,콩나물국밥,6500,FALSE,
2018-05-29,,,,,행사
2018-05-30,육부장,김치찌개,6000,TRUE,
2018-05-31,착한고기,갈비탕,7000,TRUE,
2018-06-01,잔쯔,삼선짬뽕,7000,TRUE,
2018-06-02,,,,,
2018-06-03,,,,,
2018-06-04,왕가네칼국수,바지락칼국수,6000,FALSE,
2018-06-05,할매순대,내장탕,7000,TRUE,
2018-06-06,,,,,현충일
2018-06-07,일차3.5,고추장불고기,7000,TRUE,
2018-06-08,요리수리,백반,6000,TRUE,
2018-06-09,,,,,
2018-06-10,,,,,
2018-06-11,청원,간짜장,5500,FALSE,
2018-06-12,,,,,출장
2018-06-13,,,,,선거
2018-06-14,청원,짬뽕곱배기,7000,TRUE,
2018-06-15,,,,,생일파티
2018-06-16,,,,,
2018-06-17,,,,,
2018-06-18,육부장,제육볶음,7000,FALSE,
2018-06-19,청원,삼성쟁반짜장,7500,TRUE,
2018-06-20,착한고기,낚지한마리볶음,7000,TRUE,
2018-06-21,할매순대,순대해장라면,6000,TRUE,
2018-06-22,,,,,휴가
2018-06-23,,,,,
2018-06-24,,,,,
2018-06-25,시루향기,콩나물국밥,6500,FALSE,
2018-06-26,해오름,부대찌개,6000,FALSE,
2018-06-27,버거킹,붉은대게와퍼,8100,TRUE,
2018-06-28,할매순대,순대해장라면,6000,TRUE,
2018-06-29,,,,,문화의날
2018-06-30,,,,,
2018-07-01,,,,,
2018-07-02,잔쯔,깐쇼새우정식,7000,TRUE,
2018-07-03,순흥골,우거지해장국,6000,FALSE,
2018-07-04,시루향기,콩나물국밥,6500,TRUE,
2018-07-05,,,,,출장
2018-07-06,태양생고기,닭볶음탕,6000,TRUE,
2018-07-07,,,,,
2018-07-08,,,,,
2018-07-09,해오름,부대찌개,6000,FALSE,
2018-07-10,잔쯔,탕수육정식,7000,TRUE,
2018-07-11,태양불족발,숯불제육,6000,TRUE,
2018-07-12,할매순대,순대해장라면,6000,TRUE,
2018-07-13,순흥골,우거지해장국,6000,FALSE,
2018-07-14,,,,,
2018-07-15,,,,,
2018-07-16,청원,특밥,8500,FALSE,
2018-07-17,,,,,휴가
2018-07-18,,,,,휴가
2018-07-19,순흥골,뚝배기비빔밥,6000,TRUE,
2018-07-20,잔쯔,탕수육정식,7000,TRUE,
2018-07-21,,,,,
2018-07-22,,,,,
2018-07-23,청원,쟁반짜장,6500,FALSE,
2018-07-24,순흥골,우거지해장국,6000,TRUE,
2018-07-25,시루향기,물막국수,7000,TRUE,
2018-07-26,월남선생,새우완탕쌀국수,6500,TRUE,
2018-07-27,,,,,문화의날
2018-07-28,,,,,
2018-07-29,,,,,
2018-07-30,육부장,김치찌개,6000,FALSE,
